|1(N57).AB2|	|1(N57).AB₂|
ABZU	ABZU
ADAB	ADAB
AD~a	AD~a
AD~b	AD~b
AD~c	AD~c
ADDA	ADDA
ADDA@t-2	ADDA@t
AGAR2	AGAR₂
A@g	A@g
A	A
AK~a	AK~a
AK~b	AK~b
ALAN~a	ALAN~a
ALAN~b	ALAN~b
ALAN~c	ALAN~c
ALAN~d	ALAN~d
ALAN~e	ALAN~e
ALAN~f	ALAN~f
ALIM	ALIM
AL	AL
AMA~a	AMA~a
|AMA~axE2~a|	|AMA~a×E₂~a|
AMA~b	AMA~b
AM~a	AM~a
|AMAR.1(N02)|	|AMAR.1(N02)|
|AMAR&AMAR|	|AMAR&AMAR|
AMAR@g	AMAR@g
AMAR	AMAR
|AMARxTAR|	|AMAR×TAR|
AM~b	AM~b
AN	AN
ANSZE~a	ANŠE~a
ANSZE~b	ANŠE~b
ANSZE~c	ANŠE~c
ANSZE~e	ANŠE~e
ANZU2	ANZU₂
|APIN~a.APIN~a|	|APIN~a.APIN~a|
APIN~a	APIN~a
APIN~b	APIN~b
APIN~c	APIN~c
ARARMA2~a	ARARMA₂~a
ARARMA2~b	ARARMA₂~b
ARATTA	ARATTA
ASAL2	ASAL₂
ASAR	ASAR
ASZ2	AŠ₂
A@t	A@t
|Ax1(N14)|	|A×1(N14)|
|AxAB2|	|A×AB₂|
|AxAN|	|A×AN|
|AxEN~a|	|A×EN~a|
|AxSZUBUR|	|A×ŠUBUR|
|AxZATU672|	|A×ZATU672|
AZ	AZ
AZU	AZU
BAD3~a	BAD₃~a
BAD3~b1	BAD₃~b1
BAD3~b2	BAD₃~b2
|BAD&BAD|	|BAD&BAD|
BAD	BAD
BAHAR2~a	BAHAR₂~a
BAHAR2~b	BAHAR₂~b
BAHAR2~c	BAHAR₂~c
BA	BA
BALA~a	BALA~a
BALA~b	BALA~b
BALAG	BALAG
BAN~a	BAN~a
BAN~b	BAN~b
BANSZUR~a	BANŠUR~a
BANSZUR~a@t	BANŠUR~a@t
BANSZUR~b1	BANŠUR~b1
BANSZUR~b2	BANŠUR~b2
BANSZUR~c	BANŠUR~c
BAPPIR~a	BAPPIR~a
BAPPIR~b	BAPPIR~b
BAPPIR~c	BAPPIR~c
BAPPIR~d	BAPPIR~d
BAPPIR~e	BAPPIR~e
BAPPIR~f	BAPPIR~f
BARA2~a	BARA₂~a
BARA2~b	BARA₂~b
BARA3	BARA₃
BAR	BAR
BIR3~a	BIR₃~a
BIR3~b	BIR₃~b
BIR3~c	BIR₃~c
BIR~a	BIR~a
BIR~b	BIR~b
BIR~c	BIR~c
BU3	BU₃
|(BU~a&BU~a).NA2~a|	|(BU~a&BU~a).NA₂~a|
|(BU~a&BU~a).NA2~a@n|	|(BU~a&BU~a).NA₂~a@n|
|(BU~a&BU~a).NA2~b|	|(BU~a&BU~a).NA₂~b|
|(BU~a&BU~a).X|	|(BU~a&BU~a).X|
|BU~a+DU6~a|	|BU~a+DU₆~a|
BU~a	BU~a
|BU~ax1(N58)|	|BU~a×1(N58)|
|BU~axA|	|BU~a×A|
|BU~axGISZ@t|	|BU~a×GIŠ@t|
BU~b	BU~b
|BU~b.NA2~a|	|BU~b.NA₂~a|
BULUG3	BULUG₃
BULUG	BULUG
BUR2	BUR₂
BUR~a	BUR~a
BUR~b	BUR~b
BUR~c	BUR~c
BUR~d	BUR~d
DA~a	DA~a
|DA~a.LISZ|	|DA~a.LIŠ|
DA~b	DA~b
DA~c	DA~c
DA~d	DA~d
DAG	DAG
DAH	DAH
DAM	DAM
DANNA	DANNA
DARA3~a	DARA₃~a
DARA3~b	DARA₃~b
DARA3~c	DARA₃~c
|DARA3~cxKAR2|	|DARA₃~c×KAR₂|
|DARA3~cx(KAR2.SZE~a)|	|DARA₃~c×(KAR₂.ŠE~a)|
DARA3~d	DARA₃~d
|DARA3~dxKAR2|	|DARA₃~d×KAR₂|
|DARA3~dx(KAR2.SZE~a)|	|DARA₃~d×(KAR₂.ŠE~a)|
DARA4~a1	DARA₄~a1
DARA4~a2	DARA₄~a2
DARA4~a3	DARA₄~a3
DARA4~b	DARA₄~b
DARA4~c1	DARA₄~c1
DARA4~c2	DARA₄~c2
DARA4~c3	DARA₄~c3
DARA4~c4	DARA₄~c4
DARA4~c5	DARA₄~c5
DAR~a	DAR~a
|DAR~axA|	|DAR~a×A|
DAR~b	DAR~b
DAR~c	DAR~c
DAR~d	DAR~d
DIB	DIB
DI	DI
DILMUN	DILMUN
DIM~a	DIM~a
|DIM~axGU|	|DIM~a×GU|
|DIM~axX|	|DIM~a×X|
DIM~b	DIM~b
DIM~c	DIM~c
DIN	DIN
DIN@t	DIN@t
DI@t	DI@t
DU6~a	DU₆~a
|DU6~axDISZ|	|DU₆~a×DIŠ|
DU6~b	DU₆~b
DU6~c	DU₆~c
DU7	DU₇
DU8~a	DU₈~a
DU8~b	DU₈~b
DU8~c@g	DU₈~c@g
DU8~c	DU₈~c
|DU8~cxHI|	|DU₈~c×HI|
|DU8~cxUDU~a|	|DU₈~c×UDU~a|
|DU8~cxX|	|DU₈~c×X|
DUB2	DUB₂
DUB~a	DUB~a
DUB~b	DUB~b
DUB~c	DUB~c
DUB~d	DUB~d
DUB~e	DUB~e
DUB~f	DUB~f
|(DUBxDISZ)~a|	|(DUB×DIŠ)~a|
|(DUBxDISZ)~b|	|(DUB×DIŠ)~b|
|(DUBxDISZ)~c|	|(DUB×DIŠ)~c|
DUG~a	DUG~a
|DUG~ax1(N57)|	|DUG~a×1(N57)|
|DUG~axHI|	|DUG~a×HI|
|DUG~axKASKAL|	|DUG~a×KASKAL|
|DUG~axLAM~b|	|DUG~a×LAM~b|
|DUG~axNAGA~a|	|DUG~a×NAGA~a|
|DUG~axU2~a|	|DUG~a×U₂~a|
|DUG~axU2~b|	|DUG~a×U₂~b|
|DUG~axX|	|DUG~a×X|
|(DUG~b&DUG~b)x1(N58)|	|(DUG~b&DUG~b)×1(N58)|
DUG~b	DUG~b
|DUG~bx1(N57)|	|DUG~b×1(N57)|
|DUG~bx(1(N57).KU3~a)|	|DUG~b×(1(N57).KU₃~a)|
|DUG~bx3(N57)|	|DUG~b×3(N57)|
|DUG~bxAB2|	|DUG~b×AB₂|
|DUG~bxANSZE~b|	|DUG~b×ANŠE~b|
|DUG~bxANSZE~d|	|DUG~b×ANŠE~d|
|DUG~bxBALA~a|	|DUG~b×BALA~a|
|DUG~bxBIR3~c|	|DUG~b×BIR₃~c|
|DUG~bxDIN|	|DUG~b×DIN|
|(DUG~bxDIN)@r|	|(DUG~b×DIN)@r|
|DUG~bxE~a|	|DUG~b×E~a|
|DUG~bxGA~a|	|DUG~b×GA~a|
|DUG~bxGA~b|	|DUG~b×GA~b|
|DUG~bxGESZTU~a|	|DUG~b×GEŠTU~a|
|DUG~bxGESZTU~b|	|DUG~b×GEŠTU~b|
|DUG~bxGI6|	|DUG~b×GI₆|
|DUG~bxGISZ|	|DUG~b×GIŠ|
|DUG~bxHI@g~a|	|DUG~b×HI@g~a|
|DUG~bxHI|	|DUG~b×HI|
|DUG~bxKASKAL|	|DUG~b×KASKAL|
|DUG~bxKU6~a|	|DUG~b×KU₆~a|
|DUG~bxKUR~a|	|DUG~b×KUR~a|
|DUG~bx(KUR~a.X)|	|DUG~b×(KUR~a.X)|
|DUG~bxKUR~b|	|DUG~b×KUR~b|
|DUG~bxKUR@g~a|	|DUG~b×KUR@g~a|
|DUG~bxLAM~a|	|DUG~b×LAM~a|
|DUG~bxMASZ|	|DUG~b×MAŠ|
|DUG~bxNAGA~a|	|DUG~b×NAGA~a|
|DUG~bxNAM2|	|DUG~b×NAM₂|
|DUG~bx(NI~a@g.ZATU779)|	|DUG~b×(NI~a@g.ZATU779)|
|DUG~bxSA~a|	|DUG~b×SA~a|
|DUG~bxSI4~a|	|DUG~b×SI₄~a|
|DUG~bx(SI4~a.X)|	|DUG~b×(SI₄~a.X)|
|DUG~bxSIG2~a1|	|DUG~b×SIG₂~a1|
|DUG~bxSIG2~a2|	|DUG~b×SIG₂~a2|
|DUG~bxSIG7|	|DUG~b×SIG₇|
|DUG~bxSUHUR|	|DUG~b×SUHUR|
|DUG~bxSZAH2~a|	|DUG~b×ŠAH₂~a|
|DUG~bxSZE~a|	|DUG~b×ŠE~a|
|DUG~bx(SZE~a.NAM2)|	|DUG~b×(ŠE~a.NAM₂)|
|DUG~bxTAK4~a|	|DUG~b×TAK₄~a|
|DUG~bx(TAK4~a.SA~a)|	|DUG~b×(TAK₄~a.SA~a)|
|DUG~bx(TAK4~a.SAL)|	|DUG~b×(TAK₄~a.SAL)|
|DUG~bxTI|	|DUG~b×TI|
|DUG~bxU2~a|	|DUG~b×U₂~a|
|DUG~bxU2~b|	|DUG~b×U₂~b|
|DUG~bxUH3~a|	|DUG~b×UH₃~a|
|DUG~bxUH3~a@t|	|DUG~b×UH₃~a@t|
|DUG~bxX|	|DUG~b×X|
|DUG~bxZATU707~a|	|DUG~b×ZATU707~a|
|DUG~bxZATU764|	|DUG~b×ZATU764|
|DUG~bxZATU779|	|DUG~b×ZATU779|
|DUG~bxZATU780|	|DUG~b×ZATU780|
|DUG~bxZATU781|	|DUG~b×ZATU781|
|DUG~bx(ZATU789.SA~a)|	|DUG~b×(ZATU789.SA~a)|
DUG~c	DUG~c
DUG~c@t	DUG~c@t
|DUG~cx1(N57)|	|DUG~c×1(N57)|
DUG~d	DUG~d
DU@g	DU@g
DUGUD	DUGUD
DU	DU
DUR2	DUR₂
DUR~a	DUR~a
DUR~b	DUR~b
|DUxDISZ|	|DU×DIŠ|
E2~a	E₂~a
|E2~a.LISZ|	|E₂~a.LIŠ|
|E2~ax1(N57)@t|	|E₂~a×1(N57)@t|
|E2~ax3(N58)|	|E₂~a×3(N58)|
E2~b	E₂~b
|E2~b.LISZ|	|E₂~b.LIŠ|
|E2~bx1(N57)@t|	|E₂~b×1(N57)@t|
E2~c	E₂~c
E2~d	E₂~d
E3~a	E₃~a
E3~b	E₃~b
E~a	E~a
E~b	E~b
E~c	E~c
EDIN	EDIN
E~d	E~d
E~e	E~e
|EN2.E2~a|	|EN₂.E₂~a|
|EN2.E2~b|	|EN₂.E₂~b|
EN2	EN₂
EN~a	EN~a
EN~b	EN~b
EN~b@t	EN~b@t
|EN~c&EN~c|	|EN~c&EN~c|
EN~c	EN~c
ENDIB	ENDIB
EN~e	EN~e
EN@g~a	EN@g~a
EN@g~b	EN@g~b
ENGIZ	ENGIZ
ENKUM	ENKUM
ENLIL	ENLIL
ENSI2	ENSI₂
ENSI	ENSI
ERIM2	ERIM₂
ERIM~a	ERIM~a
ERIM~b1	ERIM~b1
ERIM~b2	ERIM~b2
ERIN	ERIN
ESZDA	EŠDA
|ESZDAxTAR|	|EŠDA×TAR|
ESZGAR	EŠGAR
EZEN~a	EZEN~a
|EZEN~axEN~a|	|EZEN~a×EN~a|
|EZEN~axEN~b|	|EZEN~a×EN~b|
|EZEN~ax(HI.1(N57).AN)|	|EZEN~a×(HI.1(N57).AN)|
|EZEN~axKAB|	|EZEN~a×KAB|
|EZEN~axKI|	|EZEN~a×KI|
|EZEN~axLA~e|	|EZEN~a×LA~e|
|EZEN~axNIM~b2|	|EZEN~a×NIM~b2|
|EZEN~axNIMGIR|	|EZEN~a×NIMGIR|
|EZEN~axRAD~a|	|EZEN~a×RAD~a|
|EZEN~axSAG|	|EZEN~a×SAG|
|EZEN~axSU~a|	|EZEN~a×SU~a|
|EZEN~ax(U2~b.A)|	|EZEN~a×(U₂~b.A)|
|EZEN~axU4|	|EZEN~a×U₄|
|EZEN~axX|	|EZEN~a×X|
EZEN~b	EZEN~b
EZEN~b@t	EZEN~b@t
|EZEN~bx6(N57)|	|EZEN~b×6(N57)|
EZEN~c	EZEN~c
EZINU~a	EZINU~a
EZINU~b	EZINU~b
EZINU~c	EZINU~c
EZINU~d	EZINU~d
GA2~a1	GA₂~a1
|GA2~a1x1(N14)|	|GA₂~a1×1(N14)|
|GA2~a1x1(N57)|	|GA₂~a1×1(N57)|
|GA2~a1xA|	|GA₂~a1×A|
|GA2~a1xEN~b|	|GA₂~a1×EN~b|
|GA2~a1xGESZTU~c3|	|GA₂~a1×GEŠTU~c3|
|GA2~a1xGESZTU~c5|	|GA₂~a1×GEŠTU~c5|
|GA2~a1xGIR~a|	|GA₂~a1×GIR~a|
|GA2~a1x(GIR~a.KU6~a)|	|GA₂~a1×(GIR~a.KU₆~a)|
|GA2~a1xGISZ@t|	|GA₂~a1×GIŠ@t|
|GA2~a1xGU4|	|GA₂~a1×GU₄|
|GA2~a1xHAL|	|GA₂~a1×HAL|
|GA2~a1xHI|	|GA₂~a1×HI|
|GA2~a1x(HI.SUHUR)|	|GA₂~a1×(HI.SUHUR)|
|GA2~a1xKU3~a|	|GA₂~a1×KU₃~a|
|GA2~a1xKU6~a|	|GA₂~a1×KU₆~a|
|GA2~a1x(KU6~a.KU6~a)|	|GA₂~a1×(KU₆~a.KU₆~a)|
|GA2~a1xLAGAB~b|	|GA₂~a1×LAGAB~b|
|GA2~a1xMASZ|	|GA₂~a1×MAŠ|
|GA2~a1xNAGA~a|	|GA₂~a1×NAGA~a|
|GA2~a1xNUN~a|	|GA₂~a1×NUN~a|
|GA2~a1xPAD~b|	|GA₂~a1×PAD~b|
|GA2~a1xPAP~a|	|GA₂~a1×PAP~a|
|GA2~a1xSU~a|	|GA₂~a1×SU~a|
|GA2~a1xSUHUR|	|GA₂~a1×SUHUR|
|GA2~a1xSUKUD|	|GA₂~a1×SUKUD|
|GA2~a1x((SUKUD&SUKUD)~a)|	|GA₂~a1×((SUKUD&SUKUD)~a)|
|GA2~a1x((SUKUD&SUKUD)~b)|	|GA₂~a1×((SUKUD&SUKUD)~b)|
|GA2~a1xSUMASZ|	|GA₂~a1×SUMAŠ|
|GA2~a1xSZA|	|GA₂~a1×ŠA|
|GA2~a1xTI|	|GA₂~a1×TI|
|GA2~a1xU4|	|GA₂~a1×U₄|
|GA2~a1xX|	|GA₂~a1×X|
GA2~a2	GA₂~a2
|GA2~a2x3(N57)|	|GA₂~a2×3(N57)|
|GA2~a2xGU4|	|GA₂~a2×GU₄|
|GA2~a2x(GU4.SZE3)|	|GA₂~a2×(GU₄.ŠE₃)|
|GA2~a2xNI~a|	|GA₂~a2×NI~a|
|GA2~a2xNI~b|	|GA₂~a2×NI~b|
|GA2~a2xNIM~b1|	|GA₂~a2×NIM~b1|
|GA2~a2xSUHUR|	|GA₂~a2×SUHUR|
|GA2~a2xSZE3|	|GA₂~a2×ŠE₃|
|GA2~a2xX|	|GA₂~a2×X|
GA2~a3	GA₂~a3
|GA2~a3xX|	|GA₂~a3×X|
GA2~a4	GA₂~a4
GA2~b	GA₂~b
|GA2~bxDUB~a|	|GA₂~b×DUB~a|
|GA2~bxDUB~b|	|GA₂~b×DUB~b|
|GA2~bxKU3~a|	|GA₂~b×KU₃~a|
|GA2~bxZATU659|	|GA₂~b×ZATU659|
GA2~c	GA₂~c
GA~a	GA~a
GA'AR~a1	GAʾAR~a1
GA'AR~a2	GAʾAR~a2
GA'AR~b1	GAʾAR~b1
GA'AR~b2	GAʾAR~b2
|GA~axX|	|GA~a×X|
|GA~a.ZATU753|	|GA~a.ZATU753|
GA~b	GA~b
GA~c	GA~c
|GA~cx1(N14)|	|GA~c×1(N14)|
|GA~cxKASKAL|	|GA~c×KASKAL|
GADA~a	GADA~a
GADA~b@g	GADA~b@g
GADA~b	GADA~b
GAL~a	GAL~a
GAL~b	GAL~b
GALGA~a	GALGA~a
GALGA~b	GALGA~b
GAN2	GAN₂
GAN~a	GAN~a
GAN~b	GAN~b
GAN~c	GAN~c
|GAN~cxDIN|	|GAN~c×DIN|
|GAN~cx(HI.DIN)|	|GAN~c×(HI.DIN)|
|GAN~cxHI|	|GAN~c×HI|
|GAN~cxKASZ~c|	|GAN~c×KAŠ~c|
|GAN~cx(KUR~a.A)|	|GAN~c×(KUR~a.A)|
|GAN~cxLAGAB~b|	|GAN~c×LAGAB~b|
|GAN~cxNE~a|	|GAN~c×NE~a|
|GAN~cxSIG7|	|GAN~c×SIG₇|
|GAN~cxSZE3@t|	|GAN~c×ŠE₃@t|
|GAN~cxSZE~a|	|GAN~c×ŠE~a|
|GAN~cxX|	|GAN~c×X|
|GAN~cxZATU777|	|GAN~c×ZATU777|
GAN~d	GAN~d
|GAN~dxGESZTU~a|	|GAN~d×GEŠTU~a|
|GAN~dxHI|	|GAN~d×HI|
GAR3	GAR₃
GARA2~a	GARA₂~a
GARA2~b	GARA₂~b
GAR@g~a	GAR@g~a
GAR@g~b	GAR@g~b
GAR@g~c	GAR@g~c
GAR	GAR
GAZI	GAZI
GESZTIN~a	GEŠTIN~a
GESZTIN~c	GEŠTIN~c
|GESZTIN~cxX|	|GEŠTIN~c×X|
GESZTU~a	GEŠTU~a
|GESZTU~axSZE~a@t|	|GEŠTU~a×ŠE~a@t|
GESZTU~b	GEŠTU~b
GESZTU~c3	GEŠTU~c3
GESZTU~c5	GEŠTU~c5
|GI4~a&GI4~a|	|GI₄~a&GI₄~a|
GI4~a	GI₄~a
|GI4~axA|	|GI₄~a×A|
|GI4~b&GI4~b|	|GI₄~b&GI₄~b|
GI4~b	GI₄~b
GI6	GI₆
GIBIL6	GIBIL₆
GIBIL	GIBIL
GIBIL@t	GIBIL@t
|GI&GI&GI|	|GI&GI&GI|
|GI&GI|	|GI&GI|
|(GI&GI)xGISZ@t|	|(GI&GI)×GIŠ@t|
|(GI+&GI)xSZE3|	|(GI+&GI)×ŠE₃|
|(GI&GI)xX|	|(GI&GI)×X|
GIG	GIG
GI	GI
GIL	GIL
GIR2~a	GIR₂~a
GIR2~b	GIR₂~b
GIR3~a	GIR₃~a
|GIR3~axSZE~b|	|GIR₃~a×ŠE~b|
GIR3~b	GIR₃~b
GIR3~c	GIR₃~c
|GIR3~cxKAR2|	|GIR₃~c×KAR₂|
|GIR3~cxSZE3|	|GIR₃~c×ŠE₃|
GIR3@g~a	GIR₃@g~a
GIR3@g~b	GIR₃@g~b
GIR3@g~c	GIR₃@g~c
GIR4	GIR₄
GIR~a	GIR~a
|GIR~a.KU6~a|	|GIR~a.KU₆~a|
|GIR~b.GIR~b|	|GIR~b.GIR~b|
GIR~b	GIR~b
GIR~c	GIR~c
GIR~d	GIR~d
GISAL~a	GISAL~a
GISAL~b	GISAL~b
|GISZ3~a&GISZ3~a|	|GIŠ₃~a&GIŠ₃~a|
GISZ3~a	GIŠ₃~a
GISZ3~b	GIŠ₃~b
GISZGAL	GIŠGAL
GISZIMMAR~a1	GIŠIMMAR~a1
GISZIMMAR~a2	GIŠIMMAR~a2
GISZIMMAR~a3	GIŠIMMAR~a3
GISZIMMAR~b1	GIŠIMMAR~b1
GISZIMMAR~b3	GIŠIMMAR~b3
GISZ	GIŠ
|GISZ@t.E2~a|	|GIŠ@t.E₂~a|
|GISZ.TE|	|GIŠ.TE|
GISZ@t	GIŠ@t
|(GISZx(DIN.DIN))~a|	|(GIŠ×(DIN.DIN))~a|
|(GISZx(DIN.DIN))~b|	|(GIŠ×(DIN.DIN))~b|
|(GISZx(DIN.DIN))~c|	|(GIŠ×(DIN.DIN))~c|
GISZ~x	GIŠ~x
|GISZxSZU2~a|	|GIŠ×ŠU₂~a|
|GISZxSZU2~b|	|GIŠ×ŠU₂~b|
GI@t	GI@t
|GIx1(N14)|	|GI×1(N14)|
|GIx1(N58)@t|	|GI×1(N58)@t|
|GIxGISZ@t|	|GI×GIŠ@t|
|GIxKU~b1|	|GI×KU~b1|
|GIxLAGAB~a|	|GI×LAGAB~a|
|GIxNAM2|	|GI×NAM₂|
|GIxSIG2~d1|	|GI×SIG₂~d1|
|GIxSZE3|	|GI×ŠE₃|
|GIxX|	|GI×X|
GIZZAL~x	GIZZAL~x
GU2	GU₂
GU4@g	GU₄@g
GU4	GU₄
|GU4.ZATU755~a|	|GU₄.ZATU755~a|
GU7	GU₇
GUB3~a	GUB₃~a
GUB3~b	GUB₃~b
GUB3~c	GUB₃~c
GUB3~d	GUB₃~d
GUG2	GUG₂
GUG2@t	GUG₂@t
|GUG2xSILA3~a|	|GUG₂×SILA₃~a|
|GUG2xSZITA~a1|	|GUG₂×ŠITA~a1|
|GUG2xTUR|	|GUG₂×TUR|
GU	GU
|GUKKAL~a.HI@g~a|	|GUKKAL~a.HI@g~a|
GUKKAL~a	GUKKAL~a
GUKKAL~b	GUKKAL~b
GUKKAL~c	GUKKAL~c
GUKKAL~d	GUKKAL~d
GUL	GUL
GUM~a	GUM~a
GUM~b	GUM~b
GUM~b@n	GUM~b@n
GUN3~a	GUN₃~a
GUN3~b	GUN₃~b
GUR	GUR
GURUSZ~a	GURUŠ~a
|GURUSZ~ax2(N14)|	|GURUŠ~a×2(N14)|
GURUSZ~b	GURUŠ~b
|GURUSZ~bx2(N14)|	|GURUŠ~b×2(N14)|
|GURUSZ~cx2(N14)|	|GURUŠ~c×2(N14)|
GURUSZDA	GURUŠDA
HAL	HAL
HALUB	HALUB
HASZHUR	HAŠHUR
|HASZHURxMA|	|HAŠHUR×MA|
HI@g~a	HI@g~a
HI@g~b	HI@g~b
HI@g~c	HI@g~c
HI	HI
|HI.SUHUR|	|HI.SUHUR|
|HIx1(N01)F|	|HI×1(N01)F|
|(HIx1(N57))&(HI+1(N57))|	|(HI×1(N57))&(HI+1(N57))|
|HIx1(N57)|	|HI×1(N57)|
|HIx1(N57)@t|	|HI×1(N57)@t|
|HIx1(N58)|	|HI×1(N58)|
|HIxLAGAB~a|	|HI×LAGAB~a|
|HIxSZE3@t|	|HI×ŠE₃@t|
|HIxZATU707~a|	|HI×ZATU707~a|
HUB2	HUB₂
IB~a	IB~a
IB~a@n	IB~a@n
IB~b	IB~b
IDIGNA	IDIGNA
IG~a	IG~a
IG~b	IG~b
IGI	IGI
I	I
ILDUM~a	ILDUM~a
ILDUM~b	ILDUM~b
IL	IL
IM~a@g	IM~a@g
IM~a	IM~a
IM~b	IM~b
IN~b	IN~b
IN~d	IN~d
IR11	IR₁₁
|IR~a.GA2~a1|	|IR~a.GA₂~a1|
IR~a	IR~a
IR~b	IR~b
IR~c	IR~c
IR~d	IR~d
IRHAN	IRHAN
ISZ~a	IŠ~a
ISZ~b	IŠ~b
ISZ~c	IŠ~c
KA2~a	KA₂~a
KA2~b	KA₂~b
KA2~c	KA₂~c
KA2~d	KA₂~d
|KA2xLAM|	|KA₂×LAM|
KA~a	KA~a
|KA~a.SZE~a|	|KA~a.ŠE~a|
|KA~axSAR~a|	|KA~a×SAR~a|
KAB	KAB
|KABx1(N58)|	|KAB×1(N58)|
KAD4~a	KAD₄~a
KAD4~b	KAD₄~b
KAD4~c1	KAD₄~c1
KAD4~c2	KAD₄~c2
|KAK~a.GA2~a1|	|KAK~a.GA₂~a1|
KAK~a	KAK~a
KAK~b	KAK~b
KAL~a	KAL~a
KALAM~a	KALAM~a
KALAM~b	KALAM~b
KALAM~c	KALAM~c
KALAM~d	KALAM~d
KALAM~e	KALAM~e
KALAM~f	KALAM~f
KAL~b1	KAL~b1
KAL~b2	KAL~b2
KAR2~a	KAR₂~a
KAR2~b	KAR₂~b
KAR	KAR
KASKAL@g	KASKAL@g
KASKAL	KASKAL
KASZ~a	KAŠ~a
KASZ~b	KAŠ~b
KASZ~b@t	KAŠ~b@t
|KASZ~bxSZE~a|	|KAŠ~b×ŠE~a|
KASZ~c	KAŠ~c
KASZ~d	KAŠ~d
KESZ2	KEŠ₂
KIB@g	KIB@g
KIB	KIB
KID~a	KID~a
KID~b	KID~b
KID~c	KID~c
KID~d	KID~d
KID~e	KID~e
KI	KI
KIN2~a	KIN₂~a
KIN2~c	KIN₂~c
KIN2~d	KIN₂~d
KIN2~e	KIN₂~e
KINGAL	KINGAL
KI@n	KI@n
KIN	KIN
|KI@nxDUB~a|	|KI@n×DUB~a|
KIR11	KIR₁₁
KISAL~a1	KISAL~a1
KISAL~a2	KISAL~a2
KISAL~b1	KISAL~b1
KISAL~b2	KISAL~b2
KISAL~b2@t	KISAL~b2@t
KISAL~b3	KISAL~b3
KISIM~a	KISIM~a
KISIM~b	KISIM~b
KISIM~c	KISIM~c
KISZIK~a	KIŠIK~a
KISZIK~b	KIŠIK~b
KISZ	KIŠ
KITI	KITI
KU3~a	KU₃~a
KU3~c	KU₃~c
|KU6~a.1(N02)|	|KU₆~a.1(N02)|
|KU6~a+GISZ|	|KU₆~a+GIŠ|
KU6~a	KU₆~a
|KU6~a+KU6~a|	|KU₆~a+KU₆~a|
KU6~a@s	KU₆~a@s
KU6~c	KU₆~c
KU6~d	KU₆~d
KU~a	KU~a
KU~a@t	KU~a@t
KU~b1	KU~b1
KU~b2	KU~b2
KUN	KUN
|KUR~a.E2~a|	|KUR~a.E₂~a|
KUR~a	KUR~a
|KUR~a.NUNUZ~a1|	|KUR~a.NUNUZ~a1|
|KUR~b.E2~a|	|KUR~b.E₂~a|
KUR~b	KUR~b
KUR~c	KUR~c
KUR~d	KUR~d
KUR@g~a	KUR@g~a
KUR@g~b	KUR@g~b
KUSZU2~a	KUŠU₂~a
KUSZU2~b	KUŠU₂~b
KUSZU2~c	KUŠU₂~c
KUSZU2~d	KUŠU₂~d
KUSZU2~e	KUŠU₂~e
KUSZU2~f	KUŠU₂~f
LA2	LA₂
LA~b	LA~b
LA~c	LA~c
LA~d	LA~d
LA~e	LA~e
LAGAB~a	LAGAB~a
|LAGAB~ax2(N14)|	|LAGAB~a×2(N14)|
|LAGAB~axBA|	|LAGAB~a×BA|
|LAGAB~axBIR3~b|	|LAGAB~a×BIR₃~b|
