arch-23u	arch-16u
ANŠE~b	ANŠE~b
ANŠE~c	ANŠE~c
ANŠE~e	ANŠE~e
APIN~a	APIN~a
APIN~a.APIN~a	|APIN~a.APIN~a|
APIN~b	APIN~b
APIN~c	APIN~c
ARARMA₂~a	ARARMA₂~a
ARARMA₂~b	ARARMA₂~b
ARATTA	ARATTA
ASAL₂	ASAL₂
ASAR	ASAR
AZ	AZ
AZU	AZU
A×1(N14)	|A×1(N14)|
A×AB₂	|A×AB₂|
A×AN	|A×AN|
A×EN~a	|A×EN~a|
A×ZATU672	|A×ZATU672|
A×ŠUBUR	|A×ŠUBUR|
AŠ₂	AŠ₂
A₂	A₂
BA	BA
BAD	BAD
BAD&BAD	|BAD&BAD|
BAD₃~a	BAD₃~a
BAD₃~b1	BAD₃~b1
BAD₃~b2	BAD₃~b2
BAHAR₂~a	BAHAR₂~a
BAHAR₂~b	BAHAR₂~b
BAHAR₂~c	BAHAR₂~c
BALAG	BALAG
BALA~a	BALA~a
BALA~b	BALA~b
BAN~a	BAN~a
BAN~b	BAN~b
BANŠUR~a	BANŠUR~a
BANŠUR~a@t	BANŠUR~a@t
BANŠUR~b1	BANŠUR~b1
BANŠUR~b2	BANŠUR~b2
BANŠUR~c	BANŠUR~c
BAPPIR~a	BAPPIR~a
BAPPIR~b	BAPPIR~b
BAPPIR~c	BAPPIR~c
BAPPIR~d	BAPPIR~d
BAPPIR~e	BAPPIR~e
BAPPIR~f	BAPPIR~f
BAR	BAR
BARA₂~a	BARA₂~a
BARA₂~b	BARA₂~b
BARA₃	BARA₃
BAU405	BAU405
BIR~a	BIR~a
BIR~b	BIR~b
BIR~c	BIR~c
BIR₃~a	BIR₃~a
BIR₃~b	BIR₃~b
BIR₃~c	BIR₃~c
BULUG	BULUG
BULUG₃	BULUG₃
BUR~a	BUR~a
BUR~b	BUR~b
BUR~c	BUR~c
BUR~d	BUR~d
BUR₂	BUR₂
BU~a	BU~a
BU~a+DU₆~a	|BU~a+DU₆~a|
BU~a×1(N58)	|BU~a×1(N58)|
BU~a×A	|BU~a×A|
BU~a×GIŠ@t	|BU~a×GIŠ@t|
BU~b	BU~b
BU~b.NA₂~a	|BU~b.NA₂~a|
BU₃	BU₃
DAG	DAG
DAH	DAH
DAM	DAM
DANNA	DANNA
DARA₃~a	DARA₃~a
DARA₃~b	DARA₃~b
DARA₃~c	DARA₃~c
DARA₃~c×(KAR₂.ŠE~a)	|DARA₃~c×(KAR₂.ŠE~a)|
DARA₃~c×KAR₂	|DARA₃~c×KAR₂|
DARA₃~d	DARA₃~d
DARA₃~d×(KAR₂.ŠE~a)	|DARA₃~d×(KAR₂.ŠE~a)|
DARA₃~d×KAR₂	|DARA₃~d×KAR₂|
DARA₄~a1	DARA₄~a1
DARA₄~a2	DARA₄~a2
DARA₄~a3	DARA₄~a3
DARA₄~b	DARA₄~b
DARA₄~c1	DARA₄~c1
DARA₄~c2	DARA₄~c2
DARA₄~c3	DARA₄~c3
DARA₄~c4	DARA₄~c4
DARA₄~c5	DARA₄~c5
DAR~a	DAR~a
DAR~a×A	|DAR~a×A|
DAR~b	DAR~b
DAR~c	DAR~c
DAR~d	DAR~d
DA~a	DA~a
DA~a.LIŠ	|DA~a.LIŠ|
DA~b	DA~b
DA~c	DA~c
DA~d	DA~d
DI	DI
DI@t	DI@t
DIB	DIB
DILMUN	DILMUN
DIM~a	DIM~a
DIM~a×GU	|DIM~a×GU|
DIM~a×X	|DIM~a×X|
DIM~b	DIM~b
DIM~c	DIM~c
DIN	DIN
DIN@t	DIN@t
DU@g	DU@g
DUB~a	DUB~a
DUB~b	DUB~b
DUB~c	DUB~c
DUB~d	DUB~d
DUB~e	DUB~e
DUB~f	DUB~f
DUB₂	DUB₂
DUGUD	DUGUD
DUG~a×1(N57)	|DUG~a×1(N57)|
DUG~a×HI	|DUG~a×HI|
DUG~a×KASKAL	|DUG~a×KASKAL|
DUG~a×LAM~b	|DUG~a×LAM~b|
DUG~a×NAGA~a	|DUG~a×NAGA~a|
DUG~a×U₂~a	|DUG~a×U₂~a|
DUG~a×U₂~b	|DUG~a×U₂~b|
DUG~a×X	|DUG~a×X|
DUG~b	DUG~b
DUG~b×(1(N57).KU₃~a)	|DUG~b×(1(N57).KU₃~a)|
DUG~b×(KUR~a.X)	|DUG~b×(KUR~a.X)|
DUG~b×(NI~a@g.ZATU779)	|DUG~b×(NI~a@g.ZATU779)|
DUG~b×(SI₄~a.X)	|DUG~b×(SI₄~a.X)|
DUG~b×(TAK₄~a.SAL)	|DUG~b×(TAK₄~a.SAL)|
DUG~b×(TAK₄~a.SA~a)	|DUG~b×(TAK₄~a.SA~a)|
DUG~b×(ZATU789.SA~a)	|DUG~b×(ZATU789.SA~a)|
DUG~b×(ŠE~a.NAM₂)	|DUG~b×(ŠE~a.NAM₂)|
DUG~b×1(N57)	|DUG~b×1(N57)|
DUG~b×3(N57)	|DUG~b×3(N57)|
DUG~b×AB₂	|DUG~b×AB₂|
DUG~b×ANŠE~b	|DUG~b×ANŠE~b|
DUG~b×ANŠE~d	|DUG~b×ANŠE~d|
DUG~b×BALA~a	|DUG~b×BALA~a|
DUG~b×BIR₃~c	|DUG~b×BIR₃~c|
DUG~b×DIN	|DUG~b×DIN|
DUG~b×E~a	|DUG~b×E~a|
DUG~b×GA~a	|DUG~b×GA~a|
DUG~b×GA~b	|DUG~b×GA~b|
DUG~b×GEŠTU~a	|DUG~b×GEŠTU~a|
DUG~b×GEŠTU~b	|DUG~b×GEŠTU~b|
DUG~b×GIŠ	|DUG~b×GIŠ|
DUG~b×GI₆	|DUG~b×GI₆|
DUG~b×HI	|DUG~b×HI|
DUG~b×HI@g~a	|DUG~b×HI@g~a|
DUG~b×KASKAL	|DUG~b×KASKAL|
DUG~b×KUR@g~a	|DUG~b×KUR@g~a|
DUG~b×KUR~a	|DUG~b×KUR~a|
DUG~b×KUR~b	|DUG~b×KUR~b|
DUG~b×KU₆~a	|DUG~b×KU₆~a|
DUG~b×LAM~a	|DUG~b×LAM~a|
DUG~b×MAŠ	|DUG~b×MAŠ|
DUG~b×NAGA~a	|DUG~b×NAGA~a|
DUG~b×NAM₂	|DUG~b×NAM₂|
DUG~b×SA~a	|DUG~b×SA~a|
DUG~b×SIG₂~a1	|DUG~b×SIG₂~a1|
DUG~b×SIG₂~a2	|DUG~b×SIG₂~a2|
DUG~b×SIG₇	|DUG~b×SIG₇|
DUG~b×SI₄~a	|DUG~b×SI₄~a|
DUG~b×SUHUR	|DUG~b×SUHUR|
DUG~b×TAK₄~a	|DUG~b×TAK₄~a|
DUG~b×TI	|DUG~b×TI|
DUG~b×UH₃~a	|DUG~b×UH₃~a|
DUG~b×UH₃~a@t	|DUG~b×UH₃~a@t|
DUG~b×U₂~a	|DUG~b×U₂~a|
DUG~b×U₂~b	|DUG~b×U₂~b|
DUG~b×X	|DUG~b×X|
DUG~b×ZATU707~a	|DUG~b×ZATU707~a|
DUG~b×ZATU764	|DUG~b×ZATU764|
DUG~b×ZATU779	|DUG~b×ZATU779|
DUG~b×ZATU780	|DUG~b×ZATU780|
DUG~b×ZATU781	|DUG~b×ZATU781|
DUG~b×ŠAH₂~a	|DUG~b×ŠAH₂~a|
DUG~b×ŠE~a	|DUG~b×ŠE~a|
DUG~c	DUG~c
DUG~c@t	DUG~c@t
DUG~c×1(N57)	|DUG~c×1(N57)|
DUG~d	DUG~d
DUR~a	DUR~a
DUR~b	DUR~b
DUR₂	DUR₂
DU×DIŠ	|DU×DIŠ|
DU₆~a	DU₆~a
DU₆~a×DIŠ	|DU₆~a×DIŠ|
DU₆~b	DU₆~b
DU₆~c	DU₆~c
DU₇	DU₇
DU₈~a	DU₈~a
DU₈~b	DU₈~b
DU₈~c	DU₈~c
DU₈~c@g	DU₈~c@g
DU₈~c×HI	|DU₈~c×HI|
DU₈~c×UDU~a	|DU₈~c×UDU~a|
DU₈~c×X	|DU₈~c×X|
EDIN	EDIN
EN@g~a	EN@g~a
EN@g~b	EN@g~b
ENDIB	ENDIB
ENGIZ	ENGIZ
ENKUM	ENKUM
ENLIL	ENLIL
ENSI	ENSI
ENSI₂	ENSI₂
EN~a	EN~a
EN~b	EN~b
EN~b@t	EN~b@t
EN~c	EN~c
EN~c&EN~c	|EN~c&EN~c|
EN~e	EN~e
EN₂	EN₂
EN₂.E₂~a	|EN₂.E₂~a|
EN₂.E₂~b	|EN₂.E₂~b|
ERIM~a	ERIM~a
ERIM~b1	ERIM~b1
ERIM~b2	ERIM~b2
ERIM₂	ERIM₂
ERIN	ERIN
EZEN~a	EZEN~a
EZEN~a×(HI.1(N57).AN)	|EZEN~a×(HI.1(N57).AN)|
EZEN~a×(U₂~b.A)	|EZEN~a×(U₂~b.A)|
EZEN~a×EN~a	|EZEN~a×EN~a|
EZEN~a×EN~b	|EZEN~a×EN~b|
EZEN~a×KAB	|EZEN~a×KAB|
EZEN~a×KI	|EZEN~a×KI|
EZEN~a×LA~e	|EZEN~a×LA~e|
EZEN~a×NIMGIR	|EZEN~a×NIMGIR|
EZEN~a×NIM~b2	|EZEN~a×NIM~b2|
EZEN~a×RAD~a	|EZEN~a×RAD~a|
EZEN~a×SAG	|EZEN~a×SAG|
EZEN~a×SU~a	|EZEN~a×SU~a|
EZEN~a×U₄	|EZEN~a×U₄|
EZEN~a×X	|EZEN~a×X|
EZEN~b	EZEN~b
EZEN~b@t	EZEN~b@t
EZEN~b×6(N57)	|EZEN~b×6(N57)|
EZEN~c	EZEN~c
EZINU~a	EZINU~a
EZINU~b	EZINU~b
EZINU~c	EZINU~c
EZINU~d	EZINU~d
E~a	E~a
E~b	E~b
E~c	E~c
E~d	E~d
E~e	E~e
EŠDA	EŠDA
EŠDA×TAR	|EŠDA×TAR|
EŠGAR	EŠGAR
E₂~a	E₂~a
E₂~a.LIŠ	|E₂~a.LIŠ|
E₂~a×1(N57)@t	|E₂~a×1(N57)@t|
E₂~a×3(N58)	|E₂~a×3(N58)|
E₂~b	E₂~b
E₂~b.LIŠ	|E₂~b.LIŠ|
E₂~b×1(N57)@t	|E₂~b×1(N57)@t|
E₂~c	E₂~c
E₂~d	E₂~d
E₃~a	E₃~a
E₃~b	E₃~b
GADA~a	GADA~a
GADA~b	GADA~b
GADA~b@g	GADA~b@g
GALGA~a	GALGA~a
GALGA~b	GALGA~b
GAL~a	GAL~a
GAL~b	GAL~b
GAN~a	GAN~a
GAN~b	GAN~b
GAN~c	GAN~c
GAN~c×(HI.DIN)	|GAN~c×(HI.DIN)|
GAN~c×(KUR~a.A)	|GAN~c×(KUR~a.A)|
GAN~c×DIN	|GAN~c×DIN|
GAN~c×HI	|GAN~c×HI|
GAN~c×KAŠ~c	|GAN~c×KAŠ~c|
GAN~c×LAGAB~b	|GAN~c×LAGAB~b|
GAN~c×NE~a	|GAN~c×NE~a|
GAN~c×SIG₇	|GAN~c×SIG₇|
GAN~c×X	|GAN~c×X|
GAN~c×ZATU777	|GAN~c×ZATU777|
GAN~c×ŠE~a	|GAN~c×ŠE~a|
GAN~c×ŠE₃@t	|GAN~c×ŠE₃@t|
GAN~d	GAN~d
GAN~d×GEŠTU~a	|GAN~d×GEŠTU~a|
GAN~d×HI	|GAN~d×HI|
GAN₂	GAN₂
GAR	GAR
GAR@g~a	GAR@g~a
GAR@g~b	GAR@g~b
GAR@g~c	GAR@g~c
GARA₂~a	GARA₂~a
GARA₂~b	GARA₂~b
GAR₃	GAR₃
GAZI	GAZI
GA~a	GA~a
GA~a.ZATU753	|GA~a.ZATU753|
GA~a×X	|GA~a×X|
GA~b	GA~b
GA~c	GA~c
GA~c×1(N14)	|GA~c×1(N14)|
GA~c×KASKAL	|GA~c×KASKAL|
GAʾAR~a1	GAʾAR~a1
GAʾAR~a2	GAʾAR~a2
GAʾAR~b1	GAʾAR~b1
GAʾAR~b2	GAʾAR~b2
GA₂~a1	GA₂~a1
GA₂~a1×((SUKUD&SUKUD)~a)	|GA₂~a1×((SUKUD&SUKUD)~a)|
GA₂~a1×((SUKUD&SUKUD)~b)	|GA₂~a1×((SUKUD&SUKUD)~b)|
GA₂~a1×(GIR~a.KU₆~a)	|GA₂~a1×(GIR~a.KU₆~a)|
GA₂~a1×(HI.SUHUR)	|GA₂~a1×(HI.SUHUR)|
GA₂~a1×(KU₆~a.KU₆~a)	|GA₂~a1×(KU₆~a.KU₆~a)|
GA₂~a1×1(N14)	|GA₂~a1×1(N14)|
GA₂~a1×1(N57)	|GA₂~a1×1(N57)|
GA₂~a1×A	|GA₂~a1×A|
GA₂~a1×EN~b	|GA₂~a1×EN~b|
GA₂~a1×GEŠTU~c3	|GA₂~a1×GEŠTU~c3|
GA₂~a1×GEŠTU~c5	|GA₂~a1×GEŠTU~c5|
GA₂~a1×GIR~a	|GA₂~a1×GIR~a|
GA₂~a1×GIŠ@t	|GA₂~a1×GIŠ@t|
GA₂~a1×GU₄	|GA₂~a1×GU₄|
GA₂~a1×HAL	|GA₂~a1×HAL|
GA₂~a1×HI	|GA₂~a1×HI|
GA₂~a1×KU₃~a	|GA₂~a1×KU₃~a|
GA₂~a1×KU₆~a	|GA₂~a1×KU₆~a|
GA₂~a1×LAGAB~b	|GA₂~a1×LAGAB~b|
GA₂~a1×MAŠ	|GA₂~a1×MAŠ|
GA₂~a1×NAGA~a	|GA₂~a1×NAGA~a|
GA₂~a1×NUN~a	|GA₂~a1×NUN~a|
GA₂~a1×PAD~b	|GA₂~a1×PAD~b|
GA₂~a1×PAP~a	|GA₂~a1×PAP~a|
