
63	KA×GUR7		U+1216C	CUNEIFORM SIGN KA TIMES GUR7
64	NAG (KA×A)		U+12158	CUNEIFORM SIGN KA TIMES A
65	GU7 (KA×NÍG)		U+12165	CUNEIFORM SIGN KA TIMES GAR
66	KA×KADRA (KADRA = NÍG.ŠÀ.A)		U+12166	CUNEIFORM SIGN KA TIMES GAR PLUS SHA3 PLUS A
67	KA×ÀŠ			(Hittite)
68	KA×SIG		U+12184	CUNEIFORM SIGN KA TIMES SIG
69	KA×GU		U+1216B	KA TIMES GU
70	KA×LUM			
71	URU (IRI)		U+12337	CUNEIFORM SIGN URU
72	URU×TU		U+1234B	CUNEIFORM SIGN URU TIMES TU
73	UKKIN (URU×MAŠ or URU×BAR)		U+1233A	CUNEIFORM SIGN URU TIMES BAR
74	URU×KÁR		U+1233E	CUNEIFORM SIGN URU TIMES GAN2 TENU
75	BANŠUR (URU×URUDU)		U+1234E	CUNEIFORM SIGN URU TIMES URUDA
76	ŠÀKIR (URU×GA)		U+1233C	CUNEIFORM SIGN URU TIMES GA
77	ÚRU (URU×UD)		U+1234D	CUNEIFORM SIGN URU TIMES UD
78	URU×UL		U+1234C	CUNEIFORM SIGN URU TIMES U PLUS GUD
79	ASARI (URU×IGI)		U+12342	CUNEIFORM SIGN URU TIMES IGI
80	GIŠGAL (URU×MIN)		U+12347	CUNEIFORM SIGN URU TIMES MIN
81	URU×A		U+12338	CUNEIFORM SIGN URU TIMES A
82	URU×ḪA		U+12341	CUNEIFORM SIGN URU TIMES HA
83	ÈRIM (URU×NÍG)		U+1233F	CUNEIFORM SIGN URU TIMES GAR
84	URU×GU (GUR5)		U+12340	CUNEIFORM SIGN URU TIMES GU
85	LI		U+121F7	CUNEIFORM SIGN LI
86	TU (DÚ)		U+12305	CUNEIFORM SIGN TU
87	KU4		U+121AD	CUNEIFORM SIGN KU4
88	GUR8 (URU5; TE@g)		U+122FD	CUNEIFORM SIGN TE GUNU
89	LA		U+121B7	CUNEIFORM SIGN LA
90	APIN (ENGAR)		U+12033	CUNEIFORM SIGN APIN
91	MAḪ		U+12224	CUNEIFORM SIGN MAH
92	PAB (PAP, KÚR)		U+1227D	CUNEIFORM SIGN PAP
93	PÚŠ (PAB.ḪAL)			(U+1227D  PAP  plus U+1212C HAL)
94	BÙLUG (DIM4), MUNU4			(U+1227D PAP plus U+1227D PAP)
95	PAB.IŠ (PA6)			(U+1227D PAP plus U+12156 ISH)
96	PAB.E (PA5)			(U+1227D PAP plus U+1208A E)
97	GÀM (ZUBI, PAB.NÁ)		U+1219B	CUNEIFORM SIGN KAM4
98	MU		U+1222C	CUNEIFORM SIGN MU
99	SÌLA (QA)		U+122E1	CUNEIFORM SIGN SILA3
100	ŠEŠLAM		U+122C2	CUNEIFORM SIGN SHESHLAM
101	ZI&ZI		U+12364	CUNEIFORM SIGN ZI OVER ZI
102	NÚMUN (ZI&ZI.LAGAB)			(U+12364 ZI OVER ZI plus U+121B8 LAGAB)
103	ZI&ZI.ŠÈ			U+12364 ZI OVER ZI plus U+120A0 ESH2)
104	ZI&ZI.A			(U+12364 ZI OVER ZI plus U+12000 A)
105	GIL (GI%GI)		U+12103	CUNEIFORM SIGN GI CROSSING GI
106	KÍD (TAG4)		U+122FA	CUNEIFORM SIGN TAK4
107	NUN%NUN		U+1226B	CUNEIFORM SIGN NUN CROSSING NUN
108	KÁD		U+12190	CUNEIFORM SIGN KAD2
109	KÀD		U+12191	CUNEIFORM SIGN KAD3
110	NA		U+1223E	CUNEIFORM SIGN NA
111	RU		U+12292	CUNEIFORM SIGN RU
112	NU		U+12261	CUNEIFORM SIGN NU
113a	BAD		U+12041	CUNEIFORM SIGN BAD
113b	IDIM		U+12142	CUNEIFORM SIGN IDIM
(113)	TIL		U+12300	CUNEIFORM SIGN TIL
(113)	ÚŠ		U+12357	CUNEIFORM SIGN USH2
114	ÈŠE (AŠ+U)		U+12458	CUNEIFORM NUMERIC SIGN ONE ESHE3
115	ŠIR		U+122D3	CUNEIFORM SIGN SHIR
115	NU11		U+12262	CUNEIFORM SIGN NU11
116	ŠIR@t		U+122D4	CUNEIFORM SIGN SHIR TENU
117	NUMUN		U+121B0	CUNEIFORM SIGN KUL
118	TI		U+122FE	CUNEIFORM SIGN TI
118	TI@t		U+122FF	CUNEIFORM SIGN TI TENU
119	DIN		U+12077	CUNEIFORM SIGN DIN
119	DIN.KASKAL.SIG7		U+12078	CUNEIFORM SIGN DIN KASKAL U GUNU DISH
120	MAŠ		U+12226	CUNEIFORM SIGN MASH
121	BAR		U+12047	CUNEIFORM SIGN BAR
122	BÁN		U+1244F	CUNEIFORM SIGN NUMERIC SIGN ONE BAN2
123	KÚNGA (BAR.AN)			(U+12047 BAR plus U+1202D AN)
124	IDIGNA (DALLA; MAŠ.GÚ.GÀR)			(U+12226 MASH plus U+12118 GU2 plus U+120FC GAR3)
125	GÍDIM (MAŠ.U)			(U+12226 MASH plus U+1230B U)
126	MAŠ.MAN			(U+12226 MASH plus U+1230B U plus U+1230B U)
127	AG		U+1201D	CUNEIFORM SIGN AK
128	AG×ŠÍTA		U+1201F	CUNEIFORM SIGN AK TIMES SHITA PLUS GISH
129	MÈ (AG×ERIM)		U+1201E	CUNEIFORM SIGN AK TIMES ERIN2
130	MÁŠ		U+12227	CUNEIFORM SIGN MASH2
131	KUN		U+121B2	CUNEIFORM SIGN KUN
132	ḪU		U+12137	CUNEIFORM SIGN HU
133	U5			(U+12137 HU plus U+122DB SI)
134	NAM		U+12246	CUNEIFORM SIGN NAM
135	BURU5 (BUR5; NAM.ERIM)			(U+12246 NAM plus U+1209F ERIN2)
136	IG (GÁL)		U+12145	CUNEIFORM SIGN IG
137	MUD			(U+12137 HU plus U+1212D HI)
138	SA4 (ḪU.NÁ)			(U+12137 HU plus U+1223F NA2)
139	ŠÌTA (RAD)		U+122E5	CUNEIFORM SIGN SUD2
140	ZI		U+12363	CUNEIFORM SIGN ZI
141	GI		U+12100	CUNEIFORM SIGN GI
(141)	GI×E		U+12101	CUNEIFORM SIGN GI TIMES E
142	RI		U+12291	CUNEIFORM SIGN RI
143	NUN		U+12263	CUNEIFORM SIGN NUN
144	NUN@t		U+12269	CUNEIFORM SIGN NUN TENU
145	TÙR (NUN.LAGAR)			(U+12263 NUN plus U+121EC LAGAR)
146	IMMAL (NUN.LAGAR×BAR or NUN.LAGAR×MAŠ)		U+12265	CUNEIFORM SIGN NUN LAGAR TIMES MASH
146’	TÙR×UŠ		U+12265	CUNEIFORM SIGN NUN LAGAR TIMES USH
146”	TÙR×NÍG		U+12264	CUNEIFORM SIGN NUN LAGAR TIMES GAR
147	ŠILAM (NUN.LAGAR×MUNUS)		U+12266	CUNEIFORM SIGN NUN LAGAR TIMES SAL
147	ŠILAM&ŠILAM		U+12267	CUNEIFORM SIGN NUN LAGAR TIMES SAL OVER NUN LAGAR TIMES SAL
147	NUN%NUN.LAGAR&LAGAR		U+1226C	CUNEIFORM SIGN NUN CROSSING NUN LAGAR OVER LAGAR
148	KAB		U+1218F	CUNEIFORM SIGN KAB
149	ḪÚB		U+12138	CUNEIFORM SIGN HUB2
150	ḪUB (ḪÚB×UD)		U+1213D	CUNEIFORM SIGN HUB2 TIMES UD
151	SUR (ŠUR)		U+122E9	CUNEIFORM SIGN SUR
152	MÚŠ (SUḪ; MÙŠ@g)		U+1223D	CUNEIFORM SIGN MUSH3 GUNU
153	MÙŠ (INNIN; INANNA)		U+12239	CUNEIFORM SIGN MUSH3
154	MÙŠ×A		U+1223A	CUNEIFORM SIGN MUSH3 TIMES A
155	SED (MÙŠ×A+DI)		U+1223B	CUNEIFORM SIGN MUSH3 TIMES A PLUS DI
156	MÙŠ×ZA			
157	GAD		U+120F0	CUNEIFORM SIGN GAD
158	GAD.KÍD			(U+120F0 GAD plus U+122FA TAK4)
159	AKKIL (GAD.KÍD.SI)			(U+120F0 GAD plus U+122FA TAK4 plus U+122DB SI)
160	UMBIN (GAD.KÍD.ÚR)		U+12322	CUNEIFORM SIGN UMBIN
161	SIG8 (GAD.KÍD.GIŠ)			(U+120F0 GAD plus U+122FA TAK4 plus U+12111 GISH)
162	ŠINIG (GAD.NAGA)		U+122D2	CUNEIFORM SIGN SHINIG
163	KINDA (GAD.NÍG&GAD.NÍG)		U+120F1	CUNEIFORM SIGN GAD OVER GAD GAR OVER GAR
164	EN		U+12097	CUNEIFORM SIGN EN
164	ENME		U+1209A	CUNEIFORM SIGN EN TIMES ME
164	EN%EN		U+1209B	CUNEIFORM SIGN EN CROSSING EN
165	BURU14 (EN×GÁN)		U+12098	CUNEIFORM SIGN EN TIMES GAN2
165	BURU14 (EN×KÁR)		U+12099	CUNEIFORM SIGN EN TIMES GAN2 TENU
166	DÀR		U+12070	CUNEIFORM SIGN DARA3
167	DIM (TIM)		U+12074	CUNEIFORM SIGN DIM
168	MUN (DIM×KUR; DIM×ŠE)		U+12075	CUNEIFORM SIGN DIM TIMES SHE
169	BULUG		U+12051	CUNEIFORM SIGN BULUG
169	MÉNBULUG (BULUG&BULUG)		U+12052	CUNEIFORM SIGN BULUG OVER BULUG
170	LÀL (TA×ḪI)		U+122ED	CUNEIFORM SIGN TA TIMES HI
171	KU7		U+121AF	CUNEIFORM SIGN KU7
172	SA		U+12293	CUNEIFORM SIGN SA
173	AŠGAB		U+1203F	CUNEIFORM SIGN ASHGAB
174	GÁN		U+120F7	CUNEIFORM SIGN GAN2
174	GÁN&GÁN		U+120F9	CUNEIFORM SIGN GAN2 OVER GAN2
175	KÁR (GÁN@t; ŠÈ@t)		U+120F8	CUNEIFORM SIGN GAN2 TENU
176	GÚ (TIK)		U+12118	GU2
177	USAN (GÚ×NUN; GÚ.NUN)		U+1211B	CUNEIFORM SIGN GU2 TIMES NUN
178	DUR (GÚ×GAG, GÚ.GAG)		U+12119	CUNEIFORM SIGN GU2 TIMES KAK
179	GUN (GÚ.UN)			(U+12118 GU2 plus U+12326)
180	GUR		U+12125	CUNEIFORM SIGN GUR
181	SI		U+122DB	CUNEIFORM SIGN SI
182	SU4 (SI@g)		U+122DC	CUNEIFORM SIGN SI GUNU
183	DAR (GÙN; ḪU@g; SI@g)		U+1206F	CUNEIFORM SIGN DAR
184	SAG		U+12295	CUNEIFORM SIGN SAG
184	SAG&SAG		U+122A7	CUNEIFORM SIGN SAG OVER SAG
185	SAG×NUN		U+1229E	CUNEIFORM SIGN SAG TIMES NUN
186	SAG×UM		U+122A4	CUNEIFORM SIGN SAG TIMES UM
187	SAG×DU		U+12297	CUNEIFORM SIGN SAG TIMES DU
188	SAG×GAG		U+1229A	CUNEIFORM SIGN SAG TIMES KAK
189	SAG×NI			(Uncertain identification)
190	SAG×UŠ		U+122A6	CUNEIFORM SIGN SAG TIMES USH
191	DÌLIB (SAG×ŠID)		U+122A0	CUNEIFORM SIGN SAG TIMES SHID
192	SAG×Ú		U+122A2	CUNEIFORM SIGN SAG TIMES U2
193	SAG×UB		U+122A3	CUNEIFORM SIGN SAG TIMES UB
194	SAG×SIG7			
195	SAG×MI		U+1229D	CUNEIFORM SIGN SAG TIMES MI
196	SAG×UR		U+122A5	CUNEIFORM SIGN SAG TIMES UR
197	SAG×A		U+12296	CUNEIFORM SIGN SAG TIMES A
198	SAG×ḪA		U+12299	CUNEIFORM SIGN SAG TIMES HA
199	SAG×MUNUS		U+1229F	SAG TIMES SAL
200	SAG×LUM		U+1229C	CUNEIFORM SIGN SAG TIMES LUM
201	MÁ		U+12223	CUNEIFORM SIGN MA2
202	DIMGUL ("MÁ.MUG")			(U+12223 MA2 plus U+1222E MUG)
203	ÙZ ("MÁ.KASKAL")		U+1235A	CUNEIFORM SIGN UZ3
204	ÙZ.KASKAL		U+1235B	CUNEIFORM SIGN UZ3 TIMES KASKAL
205	SUR9 (MÁ.KASKAL.SIG7)		U+122EA	CUNEIFORM SIGN SUR9
206	SUR10 (MÁ.SIG7)			(U+12225 MA2 plus U+1214A IGI GUNU)
207	DIR (DIRI, DIRIG; SI.A)			(U+122DB SI plus U+12000 A)
208	"nìq"			(Uncertain identification)
209	TAB		U+122F0	CUNEIFORM SIGN TAB
209	4×TAB		U+122F2	CUNEIFORM SIGN TAB SQUARED
209	TAB&TAB.NI&NI.DIŠ&DIŠ		U+122F1	CUNEIFORM SIGN TAB OVER TAB NI OVER NI DISH OVER DISH
210	EŠ21 (TAB.AŠ)		U+1243B	CUNEIFORM NUMERIC SIGN THREE VARIANT FORM ESH21
211	MEGIDDA (TAB.TI)			(U+122F0 TAB plus U+122FE TI)
212	GEŠTIN (GIŠ.DIN)		U+120FE	CUNEIFORM SIGN GESHTIN
213	GEŠTIN×KUR		U+120FF	CUNEIFORM SIGN GESHTIN TIMES KUR
214	MÉGIDDA (TAB.KUN)			(U+122F0 TAB plus U+121B2 KUN)
215	LÍMMU (LÍM; TAB.TAB)		U+121F9	CUNEIFORM SIGN LIMMU2
215	LÍMMU (TAB.TAB)		U+12402	CUNEIFORM NUMERIC SIGN FOUR ASH
216	IA7 (TAB.TAB.AŠ)		U+12403	CUNEIFORM NUMERIC SIGN FIVE ASH
217	AŠ4 (TAB.TAB.TAB)		U+12404	CUNEIFORM NUMERIC SIGN SIX ASH
218	ÍMIN (TAB.TAB.TAB.AŠ)		U+12405	CUNEIFORM NUMERIC SIGN SEVEN ASH
219	ÚSSU (TAB.TAB.TAB.TAB)		U+12406	CUNEIFORM NUMERIC SIGN EIGHT ASH
220	ÍLIMMU (TAB.TAB.TAB.TAB.AŠ)		U+12407	CUNEIFORM NUMERIC SIGN NINE ASH
221	TAG (ŠUM)		U+122F3	CUNEIFORM SIGN TAG
221	TAG×GU4		U+122F5	CUNEIFORM SIGN TAG TIMES GUD
221	TAG×ŠU		U+122F7	CUNEIFORM SIGN TAG TIMES SHU
221	TAG×UD		U+122F9	CUNEIFORM SIGN TAG TIMES UD
221	UTTU (TAG×TÚG)		U+122F8	CUNEIFORM SIGN TAG TIMES TUG2
222	KÁ		U+1218D	CUNEIFORM SIGN KA2
223	AB		U+1200A	CUNEIFORM SIGN AB
224	AB×NUN			
225	AB×KÁR		U+1200E	CUNEIFORM SIGN AB TIMES GAN2 TENU
226	AB×ŠEŠ		U+12013	CUNEIFORM SIGN AB TIMES SHESH
227	AB×ÁŠ		U+1200B	CUNEIFORM SIGN AB TIMES ASH2
228	URUGAL (AB×GAL)		U+1200D	CUNEIFORM SIGN AB TIMES GAL
229	AB×SIG7		U+12010	CUNEIFORM SIGN AB TIMES IGI GUNU
230	URUDU (URUDA)		U+1234F	CUNEIFORM SIGN URUDA
231	AB×U			
231	AB×AŠ			
232	UNUG (AB@g)		U+12015	CUNEIFORM SIGN AB GUNU
232	UNUG (AB×EŠ)		U+12014	CUNEIFORM SIGN AB TIMES U PLUS U PLUS U
233	AB×KI			
234	AB×LAGAB		U+12012	CUNEIFORM SIGN AB TIMES LAGAB
235	AB×GÍN		U+1200C	CUNEIFORM SIGN AB TIMES DUN3 GUNU
236	NINA (AB×ḪA)		U+1200F	CUNEIFORM SIGN AB TIMES HA
237	AB×IMIN		U+12011	CUNEIFORM SIGN AB TIMES IMIN
238	UM		U+1231D	CUNEIFORM SIGN UM
239	UM×U		U+12321	CUNEIFORM SIGN UM TIMES U
239	URUDU×U		U+12350	CUNEIFORM SIGN URUDA TIMES U
240	UM×U.LAGAB			
240	URUDU×U+LAGAB			
241	UM×ME+DA		U+1231F	CUNEIFORM SIGN UM TIMES ME PLUS DA
242	DUB		U+1207E	CUNEIFORM SIGN DUB
243	DUB×ŠE			
244	DUB×ŠÀ			
245	DUB×LAGAB			
246	NAB (AN&AN)		U+1202E	CUNEIFORM SIGN AN OVER AN
247	MUL (AN&AN.AN)		U+1202F	CUNEIFORM SIGN AN THREE TIMES
248	TA		U+122EB	CUNEIFORM SIGN TA
248	TA		U+122EC	CUNEIFORM SIGN TA ASTERISK
249	TA@g		U+122EF	CUNEIFORM SIGN TA GUNU
250	TA×ḪI		U+122ED	CUNEIFORM SIGN TA TIMES HI
251	TA×MI		U+122EE	CUNEIFORM SIGN TA TIMES MI
252	I		U+1213F	CUNEIFORM SIGN I
253	GAN		U+120F6	CUNEIFORM SIGN GAN
254	KÁM			
255	TUR (DUMU)		U+12309	CUNEIFORM SIGN TUR
256	TUR.DIŠ			(U+12309 TUR plus U+12079 DISH)
257	ZIZNA (TUR&TUR.ZA&ZA)		U+1230A	CUNEIFORM SIGN TUR OVER TUR ZA OVER ZA
258	AD		U+1201C	CUNEIFORM SIGN AD
259	ZÍ(ṢÍ; AB×PA)		U+12362	CUNEIFORM SIGN ZE2
260	IA (I.A)		U+12140	CUNEIFORM SIGN I A
261	IN		U+12154	CUNEIFORM SIGN IN
262	RAB		U+12290	CUNEIFORM SIGN RAB
263	DIM8 (RAB.GAN)			(U+12290 RAB plus U+120F6 GAN)
264	DÌM (RAB.GAM)			(U+12290 RAB plus U+120F5 GAM)
265	DIM10 (RAB.KAM)			(Variant of Borger sign 263)
266	LUGAL		U+12217	CUNEIFORM SIGN LUGAL
266	LUGAL&LUGAL		U+12218	CUNEIFORM SIGN LUGAL OVER LUGAL
267	DIM9 (LUGAL.GAN)			(U+12217 LUGAL plus U+120F6 GAN)
268	LUGAL@LUGAL		U+12219	CUNEIFORM SIGN LUGAL OPPOSING LUGAL
269	DIM11 (LUGAL.KAM*)			(Variant of Borger sign 267)
270	ḪAŠḪUR (MA@g)		U+12222	CUNEIFORM SIGN MA GUNU
271B	EZEN (IZIN; ŠÌR; SÌR)		U+120A1	CUNEIFORM SIGN EZEN
271B	EZEN (KEŠDA; GIR11)		U+1219F	CUNEIFORM SIGN KESH2
271C	SAR		U+122AC	CUNEIFORM SIGN SAR (= Borger sign 541
272	UG5 (EZEN×AN)		U+120A1	CUNEIFORM SIGN EZEN TIMES AN
273	EZEN×LI		U+120B1	CUNEIFORM SIGN EZEN TIMES LI
274	EZEN×LA		U+120AF	CUNEIFORM SIGN EZEN TIMES LA
275A	BÀD (EZEN×BAD)		U+120A6	CUNEIFORM SIGN EZEN TIMES BAD
275B	UG5 (EZEN×AN)		U+120A1	CUNEIFORM SIGN EZEN TIMES AN (= Borger sign 272)
276	EZEN×SI			(Uncertain identification)
277	UBARA (EZEN×KASKAL)		U+120AC	CUNEIFORM SIGN EZEN TIMES KASKAL
277	4×UBARA		U+120AD	CUNEIFORM SIGN EZEN TIMES KASKAL SQUARED
278	EZEN×GU4			
279	EZEN×Ú		U+120B3	CUNEIFORM SIGN EZEN TIMES U2
280	EZEN×MIR			
281	EZEN×SIG7		U+120AB	CUNEIFORM SIGN EZEN TIMES IGI GUNU
282	EZEN×ŠE			(Hittite)
283	EZEN×UD		U+120B4	CUNEIFORM SIGN EZEN TIMES UD
284	EZEN×KUG		U+120AE	CUNEIFORM SIGN EZEN TIMES KU3
285	ASILAL (EZEN×LÁL)		U+120B0	CUNEIFORM SIGN EZEN TIMES LAL TIMES LAL
286	EZEN×LU		U+120B2	CUNEIFORM SIGN EZEN TIMES LU
287	EZEN×GÍN			
288	ÀSILAL (EZEN×A)		U+120A2	CUNEIFORM SIGN EZEN TIMES A
289	SIL7 (EZEN×A+LAL)		U+120A3	CUNEIFORM SIGN EZEN TIMES A PLUS LAL
290	ASILAL4 (EZEN×A+LÁL)		U+120A4	CUNEIFORM SIGN EZEN TIMES A PLUS LAL TIMES LAL
291	EZEN×ḪA		U+120A9	CUNEIFORM SIGN EZEN TIMES HA
292	SUM (ŠÚM; SÌ)		U+122E7	CUNEIFORM SIGN SUM
293	NAGA (NÁG; NÍDABA; NISABA)		U+12240	CUNEIFORM SIGN NAGA
293	AN.NAGA@AN.NAGA		U+12030	CUNEIFORM SIGN AN PLUS NAGA OPPOSING AN PLUS NAGA
293	4×AN+NAGA		U+12031	CUNEIFORM SIGN AN PLUS NAGA SQUARED
293	NAGA@180		U+12241	CUNEIFORM SIGN NAGA INVERTED
293	NAGA@NAGA		U+12243	CUNEIFORM SIGN NAGA OPPOSING NAGA
294	NAGA×ŠU@t		U+12242	CUNEIFORM SIGN NAGA TIMES SHU TENU
295	NIB (PIRIG×KAL)		U+1228B	CUNEIFORM SIGN PIRIG TIMES KAL
296	UG (PIRIG×UD)		U+1228C	CUNEIFORM SIGN PIRIG TIMES UD
297	AZ (AS; PIRIG×ZA)		U+1228D	CUNEIFORM SIGN PIRIG TIMES ZA
298	GAB		U+12083	CUNEIFORM SIGN DUH
298	GAB; DU8; DUḪ; TUḪ		U+120EE	CUNEIFORM SIGN GABA
299	GAB.LIŠ			
300	EDIN		U+12094	CUNEIFORM SIGN EDIN
301	TAḪ (DAḪ; MU&MU)		U+1222D	CUNEIFORM SIGN MU OVER MU
302	KASKAL (KAS)		U+1219C	CUNEIFORM SIGN KASKAL
303	ÌTI (KASKAL.ITI)			(U+1219C KASKAL plus U+1231A UD TIMES U PLUS U PLUS U)
304	ILLAT (KASKAL.KUR)			(U+1219C KASKAL plus U+121B3 KUR)
305	KASKAL.BU			(U+1219C KASKAL plus U+1204D BU)
306	KASKAL.AḪ			(U+1219C KASKAL plus U+12134 HI TIMES NUN)
307	KASKAL.LAGAB			(U+1219C KASKAL plus U+121B8 LAGAB)
307	KASKAL.TÚL&TÚL		U+1219D	CUNEIFORM SIGN KASKAL LAGAB TIMES U OVER LAGAB TIMES U
307	KASKAL&KASKAL.TÚL&TÚL		U+1219E	CUNEIFORM SIGN KASKAL OVER KASKAL LAGAB TIMES U OVER LAGAB TIMES U
308	ZIKURA (KASKAL.ÀŠ)			(U+1219C KASKAL plus U+1240B SIX DISH)
309	AM (GU4×KUR)		U+12120	CUNEIFORM SIGN GUD TIMES KUR
310	AM×A		U+1211F	CUNEIFORM SIGN GUD TIMES A PLUS KUR
311	UZU		U+1235C	CUNEIFORM SIGN UZU
312	BÍL (GIBIL; NE×PAB, NE@s)		U+1224B	CUNEIFORM SIGN NE SHESHIG
313	NE		U+12248	CUNEIFORM SIGN NE
314	ÉMEŠ (NE×UD)		U+1224A	CUNEIFORM SIGN NE TIMES UD
315	ENTEN (NE×A)		U+12249	CUNEIFORM SIGN NE TIMES A
316	NÍNDA		U+12252	CUNEIFORM SIGN NINDA2
317	NÍNDA×AŠ		U+12254	CUNEIFORM SIGN NINDA2 TIMES ASH
318	NÍNDA×AŠ+AŠ		U+12255	CUNEIFORM SIGN NINDA2 TIMES ASH PLUS ASH
319	NÍNDA×BAL			
320	ŠÀM (NÍNDA×AN)		U+12253	CUNEIFORM SIGN NINDA2 TIMES AN
321	NÍNDA×BÁN			
322	NÍNDA×GI			
323	SUMAŠ		U+122E8	CUNEIFORM SIGN SUMASH
324	AZU (NÍNDA×NUN)		U+12259	CUNEIFORM SIGN NINDA2 TIMES NUN
324	AZU (NÍNDA×NUN)		U+1236B	CUNEIFORM SIGN ZU5
325	NÍNDA×DUB?			(Identification uncertain)
326	ÁG (RAM; NÍNDA×NE)		U+12258	CUNEIFORM SIGN NINDA2 TIMES NE
